trenuta=17.03, sr. vrij.=17.03
trenuta=40.91, sr. vrij.=28.97
trenuta=3.25, sr. vrij.=20.40
trenuta=0.16, sr. vrij.=15.34
trenuta=7.18, sr. vrij.=13.71
trenuta=38.86, sr. vrij.=13.71
trenuta=47.87, sr. vrij.=18.07
trenuta=43.88, sr. vrij.=19.47
trenuta=38.53, sr. vrij.=38.53
trenuta=16.96, sr. vrij.=27.74
trenuta=2.46, sr. vrij.=19.32
trenuta=35.45, sr. vrij.=23.35
trenuta=19.31, sr. vrij.=22.54
trenuta=17.15, sr. vrij.=22.54
trenuta=39.86, sr. vrij.=18.26
trenuta=33.04, sr. vrij.=22.84
trenuta=3.26, sr. vrij.=28.96
trenuta=20.48, sr. vrij.=22.52
trenuta=42.95, sr. vrij.=22.76
trenuta=27.19, sr. vrij.=27.92
trenuta=17.63, sr. vrij.=25.38
trenuta=25.18, sr. vrij.=22.30
trenuta=22.77, sr. vrij.=26.69
trenuta=42.02, sr. vrij.=27.14
trenuta=23.93, sr. vrij.=26.96
trenuta=25.07, sr. vrij.=26.31
trenuta=45.05, sr. vrij.=27.79
trenuta=16.17, sr. vrij.=31.77
trenuta=30.52, sr. vrij.=30.45
trenuta=3.86, sr. vrij.=3.86
trenuta=38.02, sr. vrij.=20.94
trenuta=33.12, sr. vrij.=25.00
trenuta=35.88, sr. vrij.=27.72
trenuta=39.07, sr. vrij.=29.99
trenuta=2.06, sr. vrij.=29.99
trenuta=40.83, sr. vrij.=29.63
trenuta=11.69, sr. vrij.=30.19
trenuta=25.58, sr. vrij.=25.91
trenuta=7.15, sr. vrij.=23.85
trenuta=45.62, sr. vrij.=17.46
trenuta=41.36, sr. vrij.=26.17
trenuta=29.37, sr. vrij.=26.28
trenuta=23.98, sr. vrij.=29.81
trenuta=20.01, sr. vrij.=29.49
trenuta=38.62, sr. vrij.=32.07
trenuta=31.71, sr. vrij.=30.67
trenuta=45.78, sr. vrij.=28.74
trenuta=10.52, sr. vrij.=32.02
trenuta=5.53, sr. vrij.=29.33
trenuta=4.26, sr. vrij.=4.26
trenuta=21.53, sr. vrij.=12.89
trenuta=46.43, sr. vrij.=24.07
trenuta=28.30, sr. vrij.=25.13
trenuta=36.60, sr. vrij.=27.42
trenuta=38.66, sr. vrij.=27.42
trenuta=22.60, sr. vrij.=34.31
trenuta=17.18, sr. vrij.=34.52
trenuta=12.34, sr. vrij.=28.67
trenuta=39.74, sr. vrij.=25.48
trenuta=11.88, sr. vrij.=26.11
trenuta=44.84, sr. vrij.=20.75
trenuta=33.23, sr. vrij.=25.20
trenuta=42.31, sr. vrij.=28.41
trenuta=5.49, sr. vrij.=34.40
trenuta=18.77, sr. vrij.=27.55
trenuta=43.40, sr. vrij.=28.93
trenuta=3.53, sr. vrij.=28.64
trenuta=13.48, sr. vrij.=22.70
trenuta=18.40, sr. vrij.=16.93
trenuta=28.10, sr. vrij.=19.52
trenuta=25.71, sr. vrij.=21.38
trenuta=22.37, sr. vrij.=17.84
trenuta=25.86, sr. vrij.=21.61
trenuta=6.92, sr. vrij.=24.09
trenuta=36.95, sr. vrij.=21.79
trenuta=34.28, sr. vrij.=23.56
trenuta=4.94, sr. vrij.=25.28
trenuta=37.09, sr. vrij.=21.79
trenuta=43.97, sr. vrij.=24.04
