Naslov 1343; Kocic, Branko; stranice=528; godina izdanja=2003
Naslov 917; Goranovic, Branko; stranice=56; godina izdanja=1969
Naslov 169; Copic, Mladen; stranice=101; godina izdanja=1992
Naslov 4254; Copic, Branko; stranice=79; godina izdanja=1952
Naslov 350; Kocic, Milan; stranice=351; godina izdanja=1968
Naslov 3333; Copic, Milan; stranice=180; godina izdanja=1964
Naslov 852; Radicevic, Goran; stranice=303; godina izdanja=1960
Naslov 3863; Andric, Petar; stranice=288; godina izdanja=1988
Naslov 4941; Kocic, Goran; stranice=249; godina izdanja=1975
Naslov 4451; Andric, Ivica; stranice=88; godina izdanja=1954
Naslov 4923; Andric, Petar; stranice=456; godina izdanja=2003
Naslov 2758; Andric, Ivica; stranice=347; godina izdanja=1975
Naslov 3351; Andric, Ivo; stranice=181; godina izdanja=1983
Naslov 3293; Andric, Mladen; stranice=512; godina izdanja=2005
Naslov 1524; Rakic, Petar; stranice=382; godina izdanja=2022
Naslov 2951; Kocic, Milan; stranice=110; godina izdanja=1947
Naslov 1028; Mladenovic, Ivo; stranice=406; godina izdanja=1929
Naslov 3572; Radicevic, Ivica; stranice=264; godina izdanja=2001
Naslov 2535; Andric, Ivica; stranice=319; godina izdanja=2003
Naslov 1313; Kocic, Mladen; stranice=272; godina izdanja=1952
Naslov 4719; Kocic, Branko; stranice=66; godina izdanja=1946
Naslov 50; Mladenovic, Ivica; stranice=328; godina izdanja=2015
Naslov 4163; Copic, Goran; stranice=391; godina izdanja=2000
Naslov 1585; Goranovic, Goran; stranice=98; godina izdanja=1939
Naslov 3194; Goranovic, Mladen; stranice=191; godina izdanja=1928
Naslov 571; Copic, Ivo; stranice=309; godina izdanja=1974
Naslov 344; Radicevic, Goran; stranice=333; godina izdanja=1990
Naslov 3565; Rakic, Milan; stranice=290; godina izdanja=1931
Naslov 2816; Kocic, Mladen; stranice=176; godina izdanja=1944
Naslov 1293; Copic, Mladen; stranice=349; godina izdanja=2023
Naslov 1240; Mladenovic, Ivo; stranice=459; godina izdanja=1971
Naslov 1466; Radicevic, Goran; stranice=416; godina izdanja=1954
Naslov 1247; Radicevic, Milan; stranice=267; godina izdanja=1970
Naslov 243; Kocic, Petar; stranice=467; godina izdanja=1968
Naslov 955; Copic, Branko; stranice=183; godina izdanja=1932
Naslov 2550; Goranovic, Petar; stranice=150; godina izdanja=1958
Naslov 1094; Rakic, Ivo; stranice=307; godina izdanja=1975
Naslov 4799; Radicevic, Ivica; stranice=518; godina izdanja=2023
Naslov 188; Kocic, Ivo; stranice=524; godina izdanja=1947
Naslov 4293; Rakic, Goran; stranice=481; godina izdanja=1962
Naslov 4099; Andric, Petar; stranice=377; godina izdanja=1989
Naslov 3626; Kocic, Petar; stranice=389; godina izdanja=2000
Naslov 3834; Radicevic, Ivica; stranice=143; godina izdanja=1982
Naslov 2365; Mladenovic, Mladen; stranice=140; godina izdanja=2004
Naslov 3936; Radicevic, Ivo; stranice=453; godina izdanja=2000
Naslov 4680; Rakic, Stevica; stranice=424; godina izdanja=1950
Naslov 3710; Kocic, Mladen; stranice=150; godina izdanja=2013
